Minister,Date received,From,Gift,Value (£), Outcome
"Prime Minister, Rt Hon David Cameron MP",January ,Prime Minister of Moldova,Wine,Over limit,Used for official entertainment
,February,President of Afghanistan,Trinket box and coat,Over limit,Held by Department
,March,Interpol,Watch,£150,Purchased by Prime Minister
,March,Oliver Sweeney,Shoes,£279,Purchased by Prime Minister
