Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",06-Jul-12,"Evgeny Lebedev, Evening Standard",Summer party
,08-Jul-12,All England Lawn Tennis Club,Men’s Final Tennis tickets at Wimbledon
,10-Sep-12,"Tony Gallagher, The Telegraph",Dinner
