Minister,Date received,From,Gift,Value (£), Outcome
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",May,G P Hinduja,Box of fruit,,Used for official entertainment
,Jun-13,Huawei Technologies UK,Mobile phone,Over limit,Retained by the department
