Minister,Date received,From,Gift,Value (£), Outcome
,,,,,
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",Dec-2010,Ambassador of Qatar,Harrods hamper,Over  Limit,Used for Official Entertainment
,Dec-2010,Maclaren,Pram,Over Limit,To Charity
