Minister,Date received,From,Gift,Value (£), Outcome
"Minister for the Cabinet Office and Paymaster General, The Rt Hon Francis Maude MP",22/07/2011,The Royal Mint,Coin collections,Over limit,Held by the Department
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",27/07/2011,The Royal Mint,Coin collections,Over limit,Held by the Department
