Minister,Date of Trip,Destination,Purpose,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",19 – 20 October 2011,Egypt,Foreign affairs / diplomacy and commercial,Scheduled,,"£2,236"
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",09-Nov-11,Brussels,"Foreign/European affairs, speech on European economy",Eurostar,,£204
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",02-Dec-11,Madrid,"Foreign/European affairs, meeting new Spanish Government",Scheduled,,"£1,194"
