Minister,Date of Trip,Destination,Purpose,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",23-25 July,Casablanca,Bilateral meetings to discuss the Open Government Partnership and Public Sector Reform,Scheduled,2,"£1,380.00"
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",09-12 Sept,Cape Town,"UK/South Africa Bilateral Forum, OGP meetings ",Scheduled,1,"£4,319.00"
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",12-17 Sept,"Delhi, Mumbai, Bangalore","Keynote Speech on Cyber Security, Bilateral meetings on Cyber, Digital, CSR & OGP.",Scheduled,1,"£2,500.00"
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",25-27 Sept,New York,Bilateral meetings to discuss the Open Government Partnership,Scheduled,3,3071 (FCO paid the accomodation)
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",15-16 Sept,India,Trade and Investment opportunities,,,"£3,764.55"
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",16-17 Sept,Poland,Trade meeting,Scheduled,,£700.00
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",24-26 Sept,Brussels,Trade meeting,Eurostar,,£390.00
