Minister,Date of Trip,Destination,Purpose,"Scheduled, 'No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Prime Minister, The Rt Hon David Cameron MP",12/01/2012,"Riyadh, Saudi Arabia",Bilateral visit,Scheduled,n/a,"£3,892"
"Prime Minister, The Rt Hon David Cameron MP",25 – 27/01/2012,"Strasbourg, France & Davos, Switzerland",Strasbourg – to attend a meeting of the Council Of Europe Davos – to attend the World Economic Forum,Chartered & scheduled,"Strasbourg – 11, Davos - 13","£14,750"
"Prime Minister, The Rt Hon David Cameron MP",30/01/2012,"Brussels, Belgium",To attend a meeting of the European Council,No 32 (The Royal) Squadron,14,"£1,816"
"Prime Minister, The Rt Hon David Cameron MP",08-09/02/2012,Stockholm Sweden,To attend the Nordic Future Forum,Scheduled,n/a,"£1,026"
"Prime Minister, The Rt Hon David Cameron MP",17/02/2012,"Paris, France",To attend the UK-France Summit ,Eurostar,n/a,£495
"Prime Minister, The Rt Hon David Cameron MP",30/02/2012,"Brussels, Belgium",To attend a meeting of the European Council,Eurostar,n/a,£495
"Prime Minister, The Rt Hon David Cameron MP",13-15/03/2012,"Washington & New York, USA",Bilateral visit,Chartered,29,"£339,319"
,,,,,,
