Minister,Date of Trip,Destination,Purpose,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",29/01/2012 – 03/02/2012,WASHINGTON/SAN FRANCISCO,Washington - Meetings with the US Government and Speech at World Bank. San Francisco – Meetings with Government of California and IT Companies.,Scheduled,,"£5,067"
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",21-22/03/12,"Budapest, Hungary",Policy and best practice,Scheduled ,N/A,£468
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",18/11/2011,Brussels,Social investment conference,Eurostar,,£204.00
"Minister without Portfolio, The Rt Hon Baroness Warsi",10/01/12 – 13/01/12,"Islamabad and Karachi, Pakistan",To hold discussions with Senior Ministers from the Government of Pakistan on issues relating to Trade and Investment ,Scheduled,,"£1,904"
"Minister without Portfolio, The Rt Hon Baroness Warsi",14/02/12 – 15/02/12,Vatican City,"To take forward dialogue and cooperation in areas such as inter-faith dialogue, human rights, foreign policy, combating climate change, international development, and cultural relations",Scheduled,,£336
