Minister,Date of Trip,Destination,Purpose,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",08-Jul,Paris,Bilateral government and economic relations,Eurostar,,£272
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",29 – 30 September,Warsaw ,Eastern Partnership Summit,,,£255
