Minister,Date of Trip,Destination,Purpose,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Lords Government Whip, Lord Wallace of Saltaire","26-oct-12,28-oct-12",Madrid,Attended British-Spanish Tertulias conference,Scheduled,None,£194.84 (met by FCO)
"Lords Government Whip, Lord Wallace of Saltaire","8-nov-12,9-nov-12",Brussels,Attended UK_Belgian conference,Eurostar,None,£250 (met by FCO)
"Lords Government Whip, Lord Wallace of Saltaire",14-Nov-12,Paris,Attended conference with DPM,"Scheduled, Eurostar",None,£583.05
"Lords Government Whip, Lady Northover","22-nov-12,23-nov-12",Cyprus,Speaking at food security summit,Scheduled,None,£560.50 (met by DFID)
