Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",30 August - 1 September 2010,Afghanistan and Pakistan,"Afghanistan: Visit Camp Bastion, Lashkar Gah and Kabul for meetings with military officials/troops and senior UK officials.            Pakistan: Bilaterals with President and Prime Minister, visit to NDMA",Scheduled and RAF,4,"£2,927"
,21- 24 September 2010,"United Nations General Assembly, New York and Washington",Attend MDG Summit and bilateral visit to Washington,Scheduled  ,,"£8,286"
