Minister,Date of Trip,Destination,Purpose,"Scheduled, 'No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Prime Minister, The Rt Hon David Cameron MP",08-Apr,Madrid (Spain),Bilateral meetings,No32 (The Royal) Squadron,9,£371
,12 –14 April,Berlin (Germany),Bilateral meetings,No32 (The Royal) Squadron,2,"£2,031"
,10-May-13,Sochi (Russia),Bilateral meetings,Chartered,11,"£70,800"
,12 –15 May,"Washington, Boston, New York (USA)",To attend the High Level Panel and bilateral meetings,Chartered,17,"£222,515"
,22-May,"Brussels (Belgium), Paris (France)",To attend a meeting of the European Council and bilateral meetings,No32 (The Royal) Squadron & scheduled train,9,"£1,937"
,27 –28 June,Brussels (Belgium),To attend a meeting of the European Council,No32 (The Royal) Squadron,16,£123
