Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
,,,
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon Lord Strathclyde",14-Sep-2010,Evercore,Lunch
,20-Sep-2010,PriceWaterhouse Coopers,Dinner
,28-Sep-2010,ITN,Lunch
"Parliamentary Secretary to the Treasury and Minister and Chief Whip, The Rt Hon Patrick McLouglin MP",08-Sep-2010,Daily Telegraph,Lunch
"Government Whips (Commons), The Rt Hon Mark Francois, Vice-Chamberlain of HM Household ",14-Sep-2010,Sir Keith Park Memorial Campaign (RAF Club),Dinner
,,,
"NOTE   Does not normally include attendance at functions hosted by HM Government; 'diplomatic' functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined.",,,
