Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Leader of the House of Commons, Lord Privy Seal, Rt Hon Andrew Lansley MP",06-Sep-13,The Ambassador and the Speaker of the House of Representatives of Japan,Lunch
"Parliamentary Secretary, Deputy Leader of the House of Commons, Tom Brake MP",04-Sep-13,Asian Catering Federation ,Host of the Federation Networking dinner
"Parliamentary Secretary, Deputy Leader of the House of Commons, Tom Brake MP",16-Sep-13,ITV,Dinner to discuss regional news and media issues e.g. Licence fees
"Leader of the House of Lords, Lord Hill of Oareford CBE",13-Jul-13,The Ditchley Foundation,Lunch*
"Vice-Chamberlain of HM Household, Rt Hon Greg Knight MP",24-Sep-13,"Lloyd Embley, Daily Mirror",Travel and accommodation to attend a function at the Labour Party Conference
"Government Whip (Lords), Lord Newby",September,Lloyds of London,Dinner
"Government Whip (Lords), Lord Newby",September,British Bankers Association,Lunch over roundtable discussion of the Banking Reform Bill
