Minister,Date of Trip,Destination,Purpose,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",18/09/11 – 21/09/11,New York,To launch Open Government Partnership,Scheduled,,"£2,361"
"Minister without Portfolio, The Rt Hon Baroness Warsi",10/07/2011 to 12/07/2011,Sarajevo,To represent HMG at the memorial of the Srebrenica massacre,Scheduled,,£752
"Minister without Portfolio, The Rt Hon Baroness Warsi",17/09/2011 to 20/09/2011,"New Delhi, India","Introductory Visit focusing on Business, Women and cultural ties",Scheduled,,"£2,390"
