Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Prime Minister, The Rt Hon David Cameron MP",14-May-13,"American Friends of The Royal Foundation drinks reception, New York",Drinks
,05-Jun,BPI/BRITS,Reception
,07-Jun,Bilderberg Group,Dinner
