Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Prime Minister, The Rt Hon David Cameron MP",,,
,Nov-2010,Lord Mayor’s Banquet,Dinner
,Nov-2010,Spectator Awards,Dinner
,Dec-2010,Sun Military Awards,Reception and Dinner
Note,,,
"Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars;  and offers of hospitality which were declined",,,
