Minister,Date of Trip,Destination,Purpose,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",24-May-12,Berlin,EU business and bilateral relations,Scheduled,,£196
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",19 - 23 June 2012,Rio,Rio+20 Summit,Scheduled,,£8380  
