Minister,Date of Trip,Destination,Purpose,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",3rd-5th October 2012,"Budapest, Hungary",Cyber Security,Scheduled,,£544.60
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",2nd-3rd  November 2012,"Helsinki, Finland",Trilateral Commission,Scheduled,,£349.15
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",11th-20th November 2012,New Zealand/Australia,Civil Service Reform,Scheduled,,"£8,819.68"
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",28 – 30 October 2012 ,"New Delhi & Mumbai, India",Bilateral visit,Scheduled,,"£2,744.09"
"Minister for Government Policy, The Rt Hon Oliver Letwin MP",19-22 November 2012,Afghanistan,Bilateral visit,Scheduled & other RAF,1,"£2,384.79"
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP",3-6 December 2012,Libya,Trade Mission,Scheduled,,"£3,054.16"
