Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Leader of the House of Commons, Lord Privy Seal, The Rt Hon George Young MP",29 June,Financial Times,Lunch
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon  Lord Strathclyde",19 May,Portland,Annual Dinner
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon  Lord Strathclyde",23 May,PricewaterhouseCoopers,Ticket to Chelsea Flower Show
"Parliamentary Secretary to the Treasury and Minister and Chief Whip, The Rt Hon Patrick McLoughlin MP",18 May,The Times and The Independent,Dinner
"Commons Government Whip, The Rt Hon Mark Francois, Vice-Chamberlain of HM Household",5 April,Council of British Chambers of Commerce in Europe (COCOE),Annual Dinner
"Commons Government Whip, The Rt Hon Mark Francois, Vice-Chamberlain of HM Household",27 June,All Party Armed Forces Group,Dinner
"Commons Government Whip, Mr Philip Dunne MP",24 May,M & G Investments,Dinner at Chelsea Flower Show
