Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Prime Minister, The Rt Hon David Cameron MP",20-Oct,Newspaper Society Annual Lunch,Lunch
"Prime Minister, The Rt Hon David Cameron MP",14-Nov,Lord Mayor’s Banquet,Dinner
"Prime Minister, The Rt Hon David Cameron MP",30-Nov-11,Daily Mail,Dinner
"Prime Minister, The Rt Hon David Cameron MP",12-Dec-11,SBSA Boxing,Reception
"Prime Minister, The Rt Hon David Cameron MP",19-Dec-11,The Sun Military Awards,Reception
