Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Leader of the House of Commons, Lord Privy Seal, The Rt Hon George Young MP",04 July 2011,Ronald Reagan Foundation,Banquet tickets*
"Leader of the House of Lords, Chancellor of the Duchy of Lancaster, The Rt Hon  Lord Strathclyde",06 September 2011,Lloyd’s of London,Dinner 
"Parliamentary Secretary to the Treasury and Minister and Chief Whip, The Rt Hon Patrick McLoughlin MP",08-Sep-2011,Portland Communications ,Lunch
"Commons Government Whip, The Rt Hon Mark Francois, Vice-Chamberlain of HM Household",27-Sep-2011,Council of British Chambers of Commerce in Europe (COBOE),Dinner
"Commons Government Whip, The Rt Hon Mark Francois, Vice-Chamberlain of HM Household",07-Jul-2011,Spectator Magazine,Summer Drinks Party
"Commons Government Whip, The Rt Hon Mark Francois, Vice-Chamberlain of HM Household",31-Jul-2011,Essex County Council,Lunch and visit to Olympic rehearsal 
"Commons Government Whip,  Philip Dunne MP",06-Sep-2011,Policy Exchange,Dinner
