Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
,,,,,,
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",4-5 October 2010,Brussels,Asia-Europe Summit meeting,Eurostar,,£301
,15 November 2010,The Hague,Bilateral Visit,,,£76
,1-2 December 2010,"Astana, Kazakhstan",Organisation for Security and Cooperation in Europe Summit ,Charter,4,"£64,380 (costs met by No10)"
,,,,,,
