Minister,Date received,From,Gift,Value (£), Outcome
Deputy Prime Minister,07-Mar,President of the Netherlands,Framed print,Over limit,Held by Department
Deputy Prime Minister,26-Mar,President of the Republic of Korea,Tablet,Over limit,Held by Department
Deputy Prime Minister,26-Mar,Samsung,Camera,Over limit,Held by Department
