Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
,,,,,,
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",10-11 June 2010,"Berlin, Germany",Bilateral with Spanish Prime Minister and Members of the German Government,Scheduled,,"£1,446"
,,"Madrid, Spain",,,,
