Minister,Date received,From,Gift,Value (£), Outcome
"Prime Minister, The Rt Hon David Cameron MP","August, 2010",Prime Minister of Italy,Silver and Glass Ornament,Over limit,Held by Department
,"August, 2010",M&S,Baby gifts,Over limit,Held by Department
,"August, 2010",Crown Prince of Dubai,Baby gifts,Over limit,Part Purchased by the Prime Minister
,"August, 2010",Huggababy,Baby gifts,Over limit,Held by Department
,"August, 2010",The Viscout Rothermere,Champagne,Over limit,For official entertainment
,"September, 2010",Zilli Ties,Ties,Over limit,Held by Department
