Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",09-Oct-12,Mayor Bloomberg,Breakfast
,18-Oct-12,Holocaust Educational Trust,Flights
,24-Oct-12,TheCityUK,Speaking event Dinner
,07-Nov-12,Independent ,Dinner
,17-Nov-12,Arsenal Football Club,Tickets and hospitality (donation made to the Arsenal foundation)
,20-Nov-12,ITV,Lunch
,22-Nov-12,NHBC,Speaking event Lunch
,13-Dec-12,"Evgeny Lebedev, Evening Standard",Christmas party
