Minister,Date received,From,Gift,Value (£), Outcome
Prime Minister,Jul-2011,President of Afghanistan,Rug,Over Limit,Held by Department
Prime Minister,Jul-2011,President of Nigeria,Glass vase,Over Limit,Held by Department
Prime Minister,Jul-2011,Supersport Group,Pewter and Aluminium items,Over Limit,Held by Department
Prime Minister,Jul-2011,"Monitise Mobile Money, Lagos Nigeria",Blackberry,Over Limit,Held by Department
Prime Minister,Sep-2011,"State Councillor of the State Council, The People's Republic of China",Stone Carving Hanging Panels,Over Limit,Held by Department
,,,,,
,,,,,
,,,,,
