Minister,Date of Trip,Destination,Purpose,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",13-Jan,Dublin,British-Irish Council meeting and bilateral visit,Scheduled,,£289
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",17-Feb,Paris,Bilateral visit,Eurostar,,£290
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",07-Mar,The Hague,Bilateral visit,Scheduled,,£416
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",24 – 28 March,Seoul,Nuclear Security Summit and bilateral visit,Scheduled,,"£4,996"
