Minister,Date of Trip,Destination,Purpose,"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",24- 25 January 2013,Davos,Cyber Security,Scheduled,,"£1,033.65"
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",6-7 February 2013,Paris,Civil Service Reform,Scheduled,,£490.00
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",16-25 February 2013,Burma/Indonesia/Singapore,"Transparency, Civil Service Reform",Scheduled,,"£6,608.19"
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",15-16 March 2013,Berlin,Trilateral Commission,Scheduled,,"£1,436.82"
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",8-12 January 2013,"Santiago, Chile",Promote the Transparency agenda and Open Government Partnership,Scheduled,,"£5,839.78"
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Chloe Smith MP",22/03/2013,"Malaga, Spain",To speak to members of Conservatives Abroad in Malaga.,Scheduled,,£297.58
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",21-29 January 2013,Brazil and Santiago ,Trade (Energy Exports) ,Scheduled,,"£3,380.40"
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",18-Mar-13,Brussels,EU-US FTA,Scheduled,,£141.00
"Minister without Portfolio, The Rt Hon Kenneth Clarke MP ",18-19 March 2013,Rome,Pope Inauguration ,Scheduled,,£797.20
