Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",10-Oct-11,Financial Services Lawyers Association,Dinner speaking event
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",13-Oct-11,Yorkshire Post Business Excellence Awards,Dinner speaking event
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",31-Oct-11,Green Alliance,Lunch
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",03-Nov-11,Community Security Trust,Dinner speaking event
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",12-Nov-11,Royal British Legion,Concert*
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",16-Nov-11,The Spectator,Awards ceremony & Dinner
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",20-Nov-11,Chelsea Football Club,Tickets and hospitality (equivalent donation made to Chelsea’s charitable foundation)
"Deputy Prime Minister, the Rt Hon Nick Clegg MP",14-Dec-11,Business for a New Europe,Breakfast
