Minister,Date of Trip,Destination,Purpose,"Scheduled, 'No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",2 - 4 October 2012,Turkey,Bilateral visit (foreign and European policy discussions and trade promotion),Scheduled,,"£2,552"
,18-Oct-12,Poland,Auschwitz visit,Scheduled,,£0
,09-Nov-12,Dublin,"Bilateral visit (foreign and European policy discussions, trade promotion and ELDR event)",Scheduled,,£255
,14-Nov-12,Paris,"Bilateral visit (foreign, European and domestic policy discussions and Franco-British Council 40th Anniversary Event)",Scheduled / Eurostar,,£583
,10-Dec-12,Oslo,Nobel Peace Prize ceremony,Scheduled,,£672
,,,,,,
