Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",10-Jan-13,Press Gallery,Lunch
,15-Jan-13,TUC,Reception
,17-Jan-13,Yorkshire hosting start of Tour de France,Dinner
,23-Jan-13,Save the Children,Reception
,06-Mar-13,"Lionel Barber,Financial Times",Lunch
,07-Mar-13,"Alan Rusbridger,The Guardian",Lunch
,,,
,,,
